iter	Passed	Remaining
0	1	1833
1	3	1539
2	4	1428
3	5	1338
4	6	1288
5	7	1258
6	8	1226
7	9	1205
8	10	1190
9	11	1180
10	13	1169
11	14	1158
12	15	1150
13	16	1142
14	17	1137
15	18	1131
16	19	1126
17	20	1122
18	21	1118
19	22	1112
20	23	1108
21	24	1104
22	25	1100
23	27	1098
24	28	1097
25	29	1094
26	30	1092
27	31	1089
28	32	1087
29	33	1084
30	34	1083
31	35	1080
32	36	1078
33	37	1059
34	38	1060
35	39	1046
36	40	1045
37	41	1044
38	42	1044
39	43	1042
40	44	1041
41	45	1042
42	46	1041
43	47	1040
44	48	1038
45	49	1025
46	50	1024
47	51	1026
48	52	1024
49	53	1024
50	54	1012
51	56	1023
52	57	1021
53	58	1021
54	59	1019
55	60	1018
56	61	1017
57	62	1016
58	63	1015
59	64	1014
60	65	1014
61	66	1013
62	68	1012
63	69	1011
64	70	1010
65	71	1009
66	72	1007
67	73	1006
68	74	1005
69	75	1004
70	76	1004
71	77	1003
72	78	1001
73	79	994
74	80	993
75	81	992
76	82	991
77	83	991
78	84	990
79	86	990
80	87	988
81	88	987
82	89	986
83	90	986
84	91	985
85	92	985
86	93	979
87	94	978
88	95	977
89	96	976
90	97	975
91	98	971
92	99	971
93	100	970
94	101	969
95	102	968
96	103	967
97	105	966
98	106	966
99	107	965
100	108	964
101	109	963
102	110	962
103	111	961
104	112	960
105	113	960
106	114	959
107	116	958
108	117	957
109	118	956
110	119	955
111	120	954
112	121	954
113	122	952
114	123	951
115	124	951
116	125	950
117	126	949
118	128	947
119	129	946
120	130	945
121	131	945
122	132	944
123	133	943
124	134	942
125	135	941
126	136	940
127	137	939
128	138	938
129	140	937
130	141	936
131	142	935
132	143	934
133	144	933
134	145	931
135	146	930
136	147	929
137	148	929
138	149	928
139	151	927
140	152	931
141	153	930
142	155	929
143	156	928
144	157	927
145	158	926
146	159	925
147	160	924
148	161	923
149	162	922
150	163	921
151	164	919
152	166	919
153	167	918
154	168	917
155	169	916
156	170	915
157	171	914
158	172	913
159	173	912
160	174	911
161	175	910
162	177	909
163	178	908
164	179	909
165	180	908
166	181	907
167	183	906
168	184	906
169	185	903
170	186	902
171	187	901
172	188	900
173	189	899
174	190	898
175	192	900
176	193	899
177	194	898
178	195	896
179	196	895
180	197	894
181	198	893
182	199	892
183	200	890
184	201	889
185	203	888
186	204	887
187	205	886
188	206	885
189	207	884
190	208	882
191	209	881
192	210	880
193	211	879
194	212	878
195	213	877
196	215	878
197	216	877
198	217	876
199	218	875
200	219	873
201	220	872
202	222	872
203	223	870
204	224	869
205	225	868
206	226	867
207	227	866
208	228	865
209	229	864
210	230	863
211	231	862
212	233	860
213	234	859
214	235	858
215	236	857
216	237	856
217	238	855
218	239	854
219	240	853
220	241	851
221	242	848
222	243	848
223	244	846
224	245	845
225	246	844
226	247	843
227	248	842
228	249	841
229	250	840
230	252	839
231	253	838
232	254	836
233	255	836
234	256	835
235	257	834
236	258	833
237	259	832
238	260	830
239	262	829
240	263	828
241	264	827
242	265	826
243	266	825
244	268	826
245	269	825
246	270	823
247	271	822
248	272	821
249	273	820
250	274	819
251	275	818
252	276	817
253	277	815
254	278	814
255	279	813
256	281	812
257	282	811
258	283	810
259	284	809
260	285	808
261	286	807
262	287	806
263	288	805
264	289	804
265	291	803
266	292	801
267	293	800
268	294	799
269	295	798
270	296	797
271	297	796
272	298	795
273	299	794
274	300	793
275	301	791
276	302	790
277	304	789
278	305	789
279	306	788
280	307	787
281	308	786
282	309	785
283	311	784
284	312	782
285	313	781
286	314	780
287	314	778
288	316	778
289	317	777
290	318	776
291	319	775
292	321	774
293	322	773
294	323	772
295	324	771
296	325	770
297	326	768
298	327	767
299	328	767
300	329	766
301	330	764
302	332	763
303	333	762
304	334	761
305	335	760
306	336	759
307	337	758
308	338	757
309	339	756
310	340	754
311	341	753
312	342	752
313	343	751
314	345	750
315	346	749
316	347	748
317	348	747
318	349	746
319	350	745
320	351	744
321	352	742
322	353	741
323	354	739
324	355	738
325	356	737
326	357	736
327	358	734
328	359	733
329	360	732
330	361	731
331	363	730
332	364	729
333	365	728
334	366	727
335	367	725
336	368	724
337	369	724
338	370	723
339	371	722
340	373	720
341	374	721
342	375	720
343	377	719
344	378	717
345	379	716
346	380	715
347	381	714
348	382	713
349	383	712
350	384	711
351	385	710
352	386	709
353	388	708
354	389	708
355	390	707
356	392	706
357	393	704
358	394	703
359	395	702
360	396	701
361	397	700
362	398	699
363	399	698
364	400	696
365	401	695
366	402	694
367	404	693
368	405	692
369	406	691
370	407	690
371	408	689
372	409	688
373	410	687
374	411	686
375	412	685
376	413	683
377	414	682
378	416	681
379	417	680
380	418	679
381	419	678
382	420	677
383	421	676
384	422	675
385	423	673
386	424	672
387	425	671
388	426	670
389	428	669
390	429	668
391	430	667
392	431	666
393	432	664
394	433	663
395	434	662
396	435	661
397	436	660
398	437	659
399	438	658
400	439	656
401	440	655
402	441	654
403	443	653
404	444	652
405	445	651
406	446	650
407	447	649
408	448	648
409	449	646
410	450	645
411	451	644
412	452	643
413	453	642
414	455	641
415	456	640
416	457	639
417	458	638
418	459	637
419	460	635
420	462	635
421	463	634
422	464	633
423	465	632
424	466	631
425	468	630
426	469	629
427	470	628
428	471	627
429	472	626
430	473	625
431	474	623
432	475	622
433	476	621
434	477	620
435	478	619
436	479	618
437	481	617
438	482	616
439	483	615
440	484	613
441	485	612
442	486	611
443	487	610
444	488	609
445	490	608
446	491	607
447	492	606
448	493	605
449	494	604
450	495	603
451	496	601
452	497	600
453	498	599
454	499	598
455	500	597
456	501	596
457	503	595
458	504	594
459	505	592
460	506	591
461	507	590
462	508	589
463	509	588
464	510	587
465	511	586
466	512	585
467	513	584
468	514	583
469	516	581
470	517	580
471	518	579
472	519	578
473	520	577
474	521	576
475	522	575
476	523	574
477	524	573
478	525	571
479	526	570
480	527	569
481	529	568
482	530	567
483	531	566
484	532	565
485	533	564
486	534	562
487	535	561
488	536	560
489	537	559
490	538	558
491	539	557
492	540	556
493	542	555
494	543	554
495	544	553
496	545	551
497	546	550
498	547	549
499	548	548
500	549	547
501	550	546
502	551	545
503	552	543
504	553	542
505	554	541
506	556	540
507	557	539
508	558	538
509	559	537
510	560	536
511	561	535
512	562	534
513	563	533
514	564	531
515	565	530
516	566	529
517	568	528
518	569	527
519	570	526
520	571	525
521	572	524
522	573	523
523	574	522
524	575	520
525	576	519
526	577	518
527	579	517
528	580	516
529	581	515
530	582	514
531	583	513
532	584	512
533	585	511
534	586	509
535	588	509
536	589	508
537	590	507
538	591	506
539	592	505
540	594	504
541	595	502
542	596	501
543	597	500
544	598	499
545	599	498
546	600	497
547	601	496
548	602	495
549	603	494
550	605	493
551	606	491
552	607	490
553	608	489
554	609	488
555	610	487
556	611	486
557	612	485
558	613	484
559	615	483
560	616	482
561	617	481
562	618	480
563	619	479
564	620	477
565	621	476
566	622	475
567	623	474
568	624	473
569	626	472
570	627	471
571	628	470
572	629	468
573	630	467
574	631	466
575	632	465
576	633	464
577	634	463
578	635	462
579	637	461
580	638	460
581	639	459
582	640	458
583	641	456
584	642	455
585	643	454
586	644	453
587	646	452
588	647	451
589	648	450
590	649	449
591	650	448
592	651	447
593	652	445
594	653	444
595	654	443
596	655	442
597	656	441
598	657	440
599	659	439
600	660	438
601	661	437
602	662	435
603	663	435
604	665	434
605	666	433
606	667	432
607	668	430
608	669	429
609	670	428
610	671	427
611	672	426
612	673	425
613	674	424
614	675	423
615	677	422
616	678	420
617	679	419
618	680	418
619	681	417
620	682	416
621	683	415
622	684	414
623	685	413
624	686	412
625	687	410
626	688	409
627	690	408
628	691	407
629	692	406
630	694	405
631	695	404
632	696	404
633	697	402
634	699	401
635	700	400
636	701	399
637	702	398
638	703	397
639	704	396
640	705	395
641	706	394
642	707	392
643	708	391
644	709	390
645	710	389
646	712	388
647	713	387
