dataset_id,frocc_positive_roc_auc,frocc_negative_roc_auc,combined_roc_auc,combined_weights,svm_roc_auc,roc_auc_catboost
datasetId,0.5829228243021345,0.4969211822660099,0.47536945812807885,[-0.02047753  0.08124848],0.5907224958949097,0.590311986863711
datasetId,0.33775,0.6877500000000001,0.7195,[-0.09743305  0.1775777 ],0.75675,0.7482500000000001
datasetId,0.6352040816326531,0.4285714285714285,0.6066326530612246,[ 0.09572881 -0.05534362],0.5,0.5
datasetId,0.6576388888888889,0.6395833333333333,0.7083333333333333,[0.03962684 0.13810675],0.9190972222222222,0.9083333333333333
datasetId,0.49475925319358005,0.5587946282345234,0.5674746151326564,[-0.05842521  0.17082462],0.7759580740255486,0.6061251228300033
datasetId,0.6170498084291188,0.5296934865900383,0.44425287356321835,[-0.07862663  0.150609  ],0.6720306513409962,0.6383141762452107
datasetId,0.7485294117647059,0.7578781512605042,0.7454831932773109,[-0.00303906  0.07691208],0.9098739495798319,0.909873949579832
datasetId,0.5900584795321637,0.9884210526315789,0.9866666666666666,[-0.06004084  0.13045943],0.9960233918128655,0.9953216374269005
datasetId,0.5523798134417603,0.5381487682372639,0.4921071513991868,[-0.09345218  0.17522599],0.6120545324085147,0.6383640277445587
datasetId,0.45803489439853085,0.4696051423324151,0.5057851239669422,[-0.02318312  0.06177298],0.6642791551882461,0.6497704315886134
datasetId,0.7475223880597015,0.8677611940298507,0.9279402985074627,[0.10302428 0.06805437],0.9983283582089553,1.0
datasetId,0.5700805385262652,0.6047601875225388,0.6140161077052531,[0.20975423 0.03469015],0.7937252073566534,0.8260608246183435
