kernel,num_clf_dim,epsilon,frocc_positive_roc_auc,frocc_negative_roc_auc,combined_roc_auc,combined_weights,svm_roc_auc,roc_auc_catboost
linear,550,30,0.8285380116959064,0.9829239766081871,0.9844444444444445,[0.3 0.7],0.9960233918128655,0.9953216374269005
rbf,790,40,0.6647953216374268,0.9897076023391813,0.9953216374269006,[0.8 0.2],0.9960233918128655,0.9953216374269005
poly,280,20,0.6833918128654971,0.992748538011696,0.9943859649122807,[0.3 0.7],0.9960233918128655,0.9953216374269005
sigmoid,580,30,0.6922807017543859,0.9946198830409357,0.9946198830409357,[  0.80025043 161.16561434],0.9960233918128655,0.9953216374269005
linear,190,30,0.6045204496531931,0.507294905524994,0.6211432671609664,[0.5 0.5],0.6120545324085147,0.6383640277445587
rbf,280,60,0.5631427888065056,0.5382683568524277,0.5660129155704376,[0.7 0.3],0.6120545324085147,0.6383640277445587
poly,340,60,0.5690026309495335,0.5513035159052858,0.5829944989237025,[0.09990789 0.89915991],0.6120545324085147,0.6383640277445587
sigmoid,130,80,0.5536952882085626,0.5664912700310931,0.6113370007175317,[5.93835972e-01 7.05862354e+02],0.6120545324085147,0.6383640277445587
linear,220,70,0.4950413223140496,0.5328741965105601,0.5478420569329661,[0.2 0.8],0.6647382920110192,0.6497704315886134
rbf,250,30,0.46143250688705234,0.6559228650137741,0.6445362718089991,[3.25966713e-01 1.53377252e+03],0.6642791551882461,0.6497704315886134
poly,70,10,0.4852157943067033,0.546831955922865,0.5268135904499541,[0.3 0.7],0.6642791551882461,0.6497704315886134
sigmoid,280,90,0.4465564738292011,0.5318640955004592,0.5213039485766758,[  0.53423481 325.47190097],0.6642791551882461,0.6497704315886134
linear,1000,100,0.7114029850746268,0.8382089552238807,0.8509850746268658,[ 0.49940925 82.66443424],0.9983283582089553,1.0
rbf,550,90,0.6464477611940298,0.7484179104477612,0.7946865671641792,[0.5 0.5],0.9983283582089553,1.0
poly,640,80,0.7024477611940299,0.7810149253731344,0.8184477611940298,[121.7905073   43.53856711],0.9983283582089553,1.0
sigmoid,940,80,0.7233432835820897,0.8077611940298508,0.8188059701492537,[ 0.69929373 51.16373755],0.9983283582089553,1.0
linear,160,10,0.5056497175141244,0.49855751893256406,0.5200745281884842,[0.4 0.6],0.7937252073566534,0.8260608246183435
rbf,970,60,0.5319148936170213,0.5772328404856353,0.5846255559562448,[0.3 0.7],0.7937853107344632,0.8260608246183435
poly,430,30,0.5133429498737829,0.5037264094242097,0.522658973434307,[0.79937201 0.1998728 ],0.7937252073566535,0.8260608246183435
sigmoid,430,60,0.46598148815963447,0.533056857795408,0.5276475537925231,[0.1        8.77786995],0.7936050006010338,0.8260608246183435
