dataset_id,frocc_positive_roc_auc,frocc_negative_roc_auc,combined_roc_auc,combined_weights,svm_roc_auc,roc_auc_catboost
datasetId,0.5301724137931034,0.4934318555008209,0.5350985221674878,[0.6 0.4],0.5907224958949097,0.590311986863711
datasetId,0.4725,0.634,0.6174999999999999,[6.9357005e-01 7.5416400e+02],0.75675,0.7482500000000001
datasetId,0.42500000000000004,0.546938775510204,0.5387755102040817,[  0.50785193 301.43061234],0.5,0.5
datasetId,0.7229166666666667,0.5572916666666666,0.7638888888888888,[125.95555562  57.08888892],0.9190972222222222,0.9083333333333333
datasetId,0.5668195217818539,0.4502129053390108,0.5668195217818539,[32.89914856  0.29970827],0.7756305273501474,0.6061251228300033
datasetId,0.6235632183908046,0.5455938697318007,0.6452107279693486,[0.4 0.6],0.6720306513409962,0.6383141762452107
datasetId,0.8079831932773109,0.7254201680672269,0.8296218487394957,[165.71680649   0.49955492],0.9098739495798319,0.909873949579832
datasetId,0.7070175438596491,0.9941520467836257,0.9957894736842104,[0.69931718 0.3       ],0.9960233918128655,0.9953216374269005
datasetId,0.5956708921310692,0.5507055728294667,0.6313082994498924,[0.49900299 0.49933055],0.6120545324085147,0.6383640277445587
datasetId,0.4734618916437098,0.6239669421487603,0.6203856749311295,[5.04444611e-01 8.79127732e+02],0.6642791551882461,0.6497704315886134
datasetId,0.7591641791044775,0.8608955223880597,0.8717611940298508,[ 0.69931253 31.60076652],0.9983283582089553,1.0
datasetId,0.49579276355331164,0.5519894218055055,0.5566173818968626,[ 0.29970714 55.84508975],0.7937252073566534,0.8260608246183435
